periodbin,radiusbin,GAMMA_YIELD,GAMMA_YIELD_upper,GAMMA_YIELD_lower,MONO_GAMMA_YIELD,MONO_GAMMA_YIELD_upper,MONO_GAMMA_YIELD_lower,DUO_GAMMA_YIELD,DUO_GAMMA_YIELD_upper,DUO_GAMMA_YIELD_lower,TRIO_GAMMA_YIELD,TRIO_GAMMA_YIELD_upper,TRIO_GAMMA_YIELD_lower,MULTI_GAMMA_YIELD,MULTI_GAMMA_YIELD_upper,MULTI_GAMMA_YIELD_lower,TSM_CUTOFF_GAMMA_YIELD,TSM_CUTOFF_GAMMA_YIELD_upper,TSM_CUTOFF_GAMMA_YIELD_lower,TRUE_DUO_GAMMA_YIELD,TRUE_DUO_GAMMA_YIELD_upper,TRUE_DUO_GAMMA_YIELD_lower,THR_7-3_YIELD,THR_7-3_YIELD_upper,THR_7-3_YIELD_lower,MONO_THR_7-3_YIELD,MONO_THR_7-3_YIELD_upper,MONO_THR_7-3_YIELD_lower,DUO_THR_7-3_YIELD,DUO_THR_7-3_YIELD_upper,DUO_THR_7-3_YIELD_lower,TRIO_THR_7-3_YIELD,TRIO_THR_7-3_YIELD_upper,TRIO_THR_7-3_YIELD_lower,MULTI_THR_7-3_YIELD,MULTI_THR_7-3_YIELD_upper,MULTI_THR_7-3_YIELD_lower,TSM_CUTOFF_THR_7-3_YIELD,TSM_CUTOFF_THR_7-3_YIELD_upper,TSM_CUTOFF_THR_7-3_YIELD_lower,TRUE_DUO_THR_7-3_YIELD,TRUE_DUO_THR_7-3_YIELD_upper,TRUE_DUO_THR_7-3_YIELD_lower,THR_20_YIELD,THR_20_YIELD_upper,THR_20_YIELD_lower,MONO_THR_20_YIELD,MONO_THR_20_YIELD_upper,MONO_THR_20_YIELD_lower,DUO_THR_20_YIELD,DUO_THR_20_YIELD_upper,DUO_THR_20_YIELD_lower,TRIO_THR_20_YIELD,TRIO_THR_20_YIELD_upper,TRIO_THR_20_YIELD_lower,MULTI_THR_20_YIELD,MULTI_THR_20_YIELD_upper,MULTI_THR_20_YIELD_lower,TSM_CUTOFF_THR_20_YIELD,TSM_CUTOFF_THR_20_YIELD_upper,TSM_CUTOFF_THR_20_YIELD_lower,TRUE_DUO_THR_20_YIELD,TRUE_DUO_THR_20_YIELD_upper,TRUE_DUO_THR_20_YIELD_lower
"(50.0, 100.0]","(4.0, 5.66]",11,10,4,5,5,3,3,3,2,0,0,0,0,2,0,0,0,0,3,3,2,24,21,9,13,13,5,7,6,3,0,0,0,1,1,0,0,0,0,7,6,3,3,4,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
"(50.0, 100.0]","(5.66, 8.0]",21,12,8,12,8,5,5,4,2,0,0,0,0,2,0,0,0,0,5,4,2,44,22,15,27,16,11,10,6,4,0,0,0,0,2,0,0,0,0,9,6,5,12,8,5,6,5,3,3,3,2,0,0,0,0,0,0,0,0,0,2,3,2
"(50.0, 100.0]","(8.0, 11.31]",33,16,12,21,12,8,7,5,4,0,0,0,0,1,0,0,0,0,7,4,4,63,29,21,44,21,15,13,8,6,0,0,0,0,2,0,0,0,0,12,6,5,35,16,11,21,11,9,7,5,4,0,0,0,0,1,0,0,0,0,7,5,4
"(50.0, 100.0]","(11.31, 16.0]",28,22,11,19,15,8,6,5,3,0,0,0,0,2,0,0,2,0,6,5,3,50,38,19,36,27,13,11,9,5,0,0,0,0,2,0,1,3,0,10,9,5,35,32,15,24,22,10,8,8,5,0,0,0,0,2,0,1,3,0,8,7,3
"(100.0, 200.0]","(0.5, 0.71]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(0.71, 1.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(1.0, 1.41]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(1.41, 2.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(2.0, 2.83]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(2.83, 4.0]",3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,5,4,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(4.0, 5.66]",4,4,3,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,8,6,9,6,4,1,2,1,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100.0, 200.0]","(5.66, 8.0]",10,8,5,7,7,4,1,2,1,0,0,0,0,0,0,0,0,0,1,2,0,20,16,9,15,13,7,3,3,1,0,0,0,0,0,0,0,0,0,3,2,1,5,6,3,2,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
"(100.0, 200.0]","(8.0, 11.31]",30,13,10,22,11,8,4,2,1,0,0,0,0,1,0,0,0,0,3,3,1,56,25,17,46,20,15,6,4,3,0,0,0,0,1,0,0,0,0,6,4,2,30,13,9,23,10,8,3,4,1,0,0,0,0,1,0,0,0,0,3,3,1
"(100.0, 200.0]","(11.31, 16.0]",26,12,10,20,10,8,2,3,1,0,0,0,0,0,0,0,0,0,2,2,1,47,21,16,40,17,13,4,4,3,0,0,0,0,0,0,0,1,0,4,4,3,37,16,12,30,13,10,4,4,2,0,0,0,0,0,0,0,1,0,4,2,2
