periodbin,radiusbin,COUNT,GAMMA_mean,GAMMA_OBS_mean,GAMMA_OBS_TRANS_mean,MONO_COUNT,MONO_GAMMA_mean,MONO_GAMMA_OBS_mean,MONO_GAMMA_OBS_TRANS_mean,DUO_COUNT,DUO_GAMMA_mean,DUO_GAMMA_OBS_mean,DUO_GAMMA_OBS_TRANS_mean,TRIO_COUNT,TRIO_GAMMA_mean,TRIO_GAMMA_OBS_mean,TRIO_GAMMA_OBS_TRANS_mean,MULTI_COUNT,MULTI_GAMMA_mean,MULTI_GAMMA_OBS_mean,MULTI_GAMMA_OBS_TRANS_mean,TSM_CUTOFF_COUNT,TSM_CUTOFF_GAMMA_mean,TSM_CUTOFF_GAMMA_OBS_mean,TSM_CUTOFF_GAMMA_OBS_TRANS_mean,TRUE_DUO_COUNT,TRUE_DUO_GAMMA_mean,TRUE_DUO_GAMMA_OBS_mean,TRUE_DUO_GAMMA_OBS_TRANS_mean,THR_7-3_mean,THR_7-3_OBS_mean,THR_7-3_OBS_TRANS_mean,MONO_THR_7-3_mean,MONO_THR_7-3_OBS_mean,MONO_THR_7-3_OBS_TRANS_mean,DUO_THR_7-3_mean,DUO_THR_7-3_OBS_mean,DUO_THR_7-3_OBS_TRANS_mean,TRIO_THR_7-3_mean,TRIO_THR_7-3_OBS_mean,TRIO_THR_7-3_OBS_TRANS_mean,MULTI_THR_7-3_mean,MULTI_THR_7-3_OBS_mean,MULTI_THR_7-3_OBS_TRANS_mean,TSM_CUTOFF_THR_7-3_mean,TSM_CUTOFF_THR_7-3_OBS_mean,TSM_CUTOFF_THR_7-3_OBS_TRANS_mean,TRUE_DUO_THR_7-3_mean,TRUE_DUO_THR_7-3_OBS_mean,TRUE_DUO_THR_7-3_OBS_TRANS_mean,THR_20_mean,THR_20_OBS_mean,THR_20_OBS_TRANS_mean,MONO_THR_20_mean,MONO_THR_20_OBS_mean,MONO_THR_20_OBS_TRANS_mean,DUO_THR_20_mean,DUO_THR_20_OBS_mean,DUO_THR_20_OBS_TRANS_mean,TRIO_THR_20_mean,TRIO_THR_20_OBS_mean,TRIO_THR_20_OBS_TRANS_mean,MULTI_THR_20_mean,MULTI_THR_20_OBS_mean,MULTI_THR_20_OBS_TRANS_mean,TSM_CUTOFF_THR_20_mean,TSM_CUTOFF_THR_20_OBS_mean,TSM_CUTOFF_THR_20_OBS_TRANS_mean,TRUE_DUO_THR_20_mean,TRUE_DUO_THR_20_OBS_mean,TRUE_DUO_THR_20_OBS_TRANS_mean,SIM_COUNT
"(3.13, 6.25]","(2.0, 2.83]",8816904,0.11375652207534846,0.11375652207534846,0.008810480057172814,15.0,5.010706225289988e-16,5.010706225289988e-16,2.891578040728782e-17,14145.0,2.6461886799442764e-05,2.6461886799442764e-05,1.7616853904374336e-06,110989.0,0.00032730497020810363,0.00032730497020810363,2.1459268057201147e-05,5389351.0,0.11340275521834038,0.11340275521834038,0.008787259103725152,28900.0,0.0026840855896745008,0.0026840855896745008,0.00021167224306324232,0.0,0.0,0.0,0.0,0.17043114000107074,0.17043114000107074,0.01318541331515008,0.0,0.0,0.0,5.920445544150191e-05,5.920445544150191e-05,3.928691976231112e-06,0.0006851611404638182,0.0006851611404638182,4.499092878860879e-05,0.16968677440516536,0.16968677440516536,0.013136493694385243,0.003137155627417515,0.003137155627417515,0.0002466992268487897,0.0,0.0,0.0,0.01778243247289525,0.01778243247289525,0.0013685334557345748,0.0,0.0,0.0,5.217250862661088e-06,5.217250862661088e-06,3.400173121993842e-07,3.289136413416773e-05,3.289136413416773e-05,2.135931161323748e-06,0.017744323857898422,0.017744323857898422,0.0013660575072610515,0.0026790583179764687,0.0026790583179764687,0.00021004062196889074,0.0,0.0,0.0,5514500
"(3.13, 6.25]","(2.83, 4.0]",1857846,0.33353336850055026,0.33353336850055026,0.026341753207828094,6.0,4.998362591654741e-16,4.998362591654741e-16,3.004122509361281e-17,5344.0,0.00018250374170897658,0.00018250374170897658,1.2124516255369504e-05,38453.0,0.001662227081870479,0.001662227081870479,0.00011215569015178322,1554897.0,0.3316886376769703,0.3316886376769703,0.02621747300142091,30300.0,0.014140963460410334,0.014140963460410334,0.0011365525657504318,0.0,0.0,0.0,0.0,0.46125728397294496,0.46125728397294496,0.036434761438784484,0.0,0.0,0.0,0.0003708595868548847,0.0003708595868548847,2.4509135848719425e-05,0.003098211584813811,0.003098211584813811,0.00020881499327716075,0.4577882128012763,0.4577882128012763,0.036201437309658614,0.016246233541423776,0.016246233541423776,0.0013034565297661918,0.0,0.0,0.0,0.09549123016654772,0.09549123016654772,0.007485806466197949,0.0,0.0,0.0,3.983107318905873e-05,3.983107318905873e-05,2.7090512346017923e-06,0.00044836870224980967,0.00044836870224980967,2.984510018591423e-05,0.09500303039110884,0.09500303039110884,0.007453252314777432,0.015016852850020938,0.015016852850020938,0.0012068927133895915,0.0,0.0,0.0,1598700
"(3.13, 6.25]","(4.0, 5.66]",913973,0.6094373089961248,0.6094373089961248,0.049706020500267796,3.0,3.1077735366002963e-07,3.1077735366002963e-07,1.9488105632643994e-08,2977.0,0.0005757069608696995,0.0005757069608696995,3.8432628593460284e-05,22448.0,0.006785975474159986,0.006785975474159986,0.00046561862040556335,821672.0,0.6020753157837417,0.6020753157837417,0.04920194976316314,24200.0,0.02285490543821195,0.02285490543821195,0.001873569947100205,0.0,0.0,0.0,0.0,0.7678563808777721,0.7678563808777721,0.0626901367983518,1.0941242246762205e-06,1.0941242246762205e-06,6.849217646473146e-08,0.0011761835415269376,0.0011761835415269376,7.802145139954904e-05,0.012401898086704968,0.012401898086704968,0.0008548819275842939,0.7542772051253155,0.7542772051253155,0.061757164927191494,0.02623928715618514,0.02623928715618514,0.0021476929843660592,0.0,0.0,0.0,0.313613203015844,0.313613203015844,0.025162326786458678,0.0,0.0,0.0,0.00016521275792610938,0.00016521275792610938,1.173634232083442e-05,0.0015284915418726812,0.0015284915418726812,0.00010615838761101258,0.31191949871604524,0.31191949871604524,0.02504443205652683,0.025421976360352,0.025421976360352,0.002078144430962403,0.0,0.0,0.0,847100
"(3.13, 6.25]","(5.66, 8.0]",758566,0.7705539853070926,0.7705539853070926,0.06518661470826523,0.0,0.0,0.0,0.0,2142.0,0.0010565123207740394,0.0010565123207740394,7.334861229077847e-05,18025.0,0.012204100398599014,0.012204100398599014,0.0008985646355349508,706413.0,0.7572933725877197,0.7572933725877197,0.06421470146043952,81500.0,0.0935177908664723,0.0935177908664723,0.0077142933799429205,0.0,0.0,0.0,0.0,0.9100302412710298,0.9100302412710298,0.0772699281275459,0.0,0.0,0.0,0.0019233659299256755,0.0019233659299256755,0.00013419056482890087,0.01921256686959342,0.01921256686959342,0.001428289034836784,0.8888943084715107,0.8888943084715107,0.07570744852788021,0.10712845026009603,0.10712845026009603,0.008823644613652603,0.0,0.0,0.0,0.6639250902360505,0.6639250902360505,0.05480093650387705,0.0,0.0,0.0,0.00044030446922219027,0.00044030446922219027,2.934457911374885e-05,0.006586111162377433,0.006586111162377433,0.00045680955908912365,0.6568986746044511,0.6568986746044511,0.05431478236567419,0.10556892874186294,0.10556892874186294,0.008694694726628928,0.0,0.0,0.0,726600
"(3.13, 6.25]","(8.0, 11.31]",696053,0.7834751195446591,0.7834751195446591,0.06966959160737435,0.0,0.0,0.0,0.0,2256.0,0.0016690777327111718,0.0016690777327111718,0.0001242588096184126,17885.0,0.016066476492730474,0.016066476492730474,0.0012661310283235436,637319.0,0.7657395653192175,0.7657395653192175,0.06827920176943243,213700.0,0.26630267799035157,0.26630267799035157,0.022600030652949948,0.0,0.0,0.0,0.0,0.9138829945420823,0.9138829945420823,0.0815435097614693,0.0,0.0,0.0,0.0027382972273663066,0.0027382972273663066,0.00020728148574893003,0.023623201106812267,0.023623201106812267,0.0018836177704858682,0.8875214962079037,0.8875214962079037,0.07945261050523453,0.3062568511305892,0.3062568511305892,0.02594455738284298,0.0,0.0,0.0,0.8417074561850894,0.8417074561850894,0.07296041781301135,0.0,0.0,0.0,0.001910774035885198,0.001910774035885198,0.0001322939488803295,0.017502977503149907,0.017502977503149907,0.001296877967626028,0.8222937046460542,0.8222937046460542,0.071531245896505,0.30471386517980675,0.30471386517980675,0.025803176482250636,0.0,0.0,0.0,657600
"(3.13, 6.25]","(11.31, 16.0]",352369,0.7991329804075499,0.7991329804075499,0.07577355377354662,5.0,7.953613343767326e-06,7.953613343767326e-06,6.350151907690931e-07,1458.0,0.0024523838965605847,0.0024523838965605847,0.0001981618695500433,9498.0,0.017220629465479927,0.017220629465479927,0.0014782946728925188,332389.0,0.7794520134321653,0.7794520134321653,0.07409646221591329,220900.0,0.5427395623668365,0.5427395623668365,0.048061724745085986,0.0,0.0,0.0,0.0,0.9301016831787132,0.9301016831787132,0.08892850960215001,1.4189670487471935e-05,1.4189670487471935e-05,1.1329032917197592e-06,0.003924862856834739,0.003924862856834739,0.00031975400787242927,0.024911385507805736,0.024911385507805736,0.002153025379644634,0.9012512451435852,0.9012512451435852,0.08645459731134122,0.6256793304745875,0.6256793304745875,0.05530383603551958,0.0,0.0,0.0,0.8952944214729446,0.8952944214729446,0.08197208835056428,2.837934097494386e-06,2.837934097494386e-06,2.1965609914606565e-07,0.003470793401235637,0.003470793401235637,0.00026609605271746376,0.02217277910372365,0.02217277910372365,0.0018033246397952147,0.8696480110338878,0.8696480110338878,0.0799024480019525,0.6234543901421522,0.6234543901421522,0.055083038235486076,0.0,0.0,0.0,343700
"(6.25, 12.5]","(0.5, 0.71]",1479979,5.413122294192593e-07,5.413122294192593e-07,2.4623602767840262e-08,0.0,0.0,0.0,0.0,198.0,4.8852198218404926e-18,4.8852198218404926e-18,1.9218668343741605e-19,105.0,4.76589487471635e-16,4.76589487471635e-16,1.8734522439118036e-17,897.0,5.413122289377846e-07,5.413122289377846e-07,2.4623602748913555e-08,300.0,5.410048291808284e-07,5.410048291808284e-07,2.4610703867279773e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200
"(6.25, 12.5]","(0.71, 1.0]",4345473,0.00020917658307071543,0.0002091765830536343,1.0355645207803614e-05,271.0,1.807499566655412e-17,1.7163513948808085e-17,7.041289890951649e-19,3134.0,3.121388053272609e-08,3.1213863452513254e-08,1.2329811524205953e-09,2753.0,1.3159826071019526e-06,1.3159826071019526e-06,5.197988529936298e-08,27542.0,0.00020782938658306266,0.00020782938658306266,1.0302432341351126e-05,1100.0,8.581350571596836e-05,8.581350571596836e-05,4.6376150974591625e-06,49.0,7.362981384288247e-16,7.362981384288247e-16,2.3927174655893987e-17,0.0003587641667546893,0.0003587641667546893,1.7348675276546422e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.213362734045293e-06,6.213362734045293e-06,2.4542782799478895e-07,0.00035255080402064404,0.00035255080402064404,1.7103247448551635e-05,0.00014014584833457717,0.00014014584833457717,7.406558503527699e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33700
"(6.25, 12.5]","(1.0, 1.41]",13414288,0.0019008064940228713,0.0019007542644101248,9.020955877837404e-05,5565.0,1.0301444698442672e-08,1.0301226732357112e-08,4.09249668430823e-10,52897.0,8.12580292165572e-06,8.125374378264486e-06,3.53485068788647e-07,53314.0,3.061432034552701e-05,3.061202782258984e-05,1.3300016421212822e-06,516524.0,0.0018620560693109898,0.0018620065609825376,8.852566281779568e-05,3500.0,0.00014291840547257456,0.00014291840547257456,6.845654220107799e-06,2583.0,7.690309326582553e-07,7.687235762729552e-07,2.9868769372460646e-08,0.0032188812406592133,0.003218745340788866,0.0001524007387346984,0.0,0.0,0.0,2.4153350517000974e-05,2.4153350517000974e-05,1.034493966433403e-06,6.925451429103059e-05,6.924541951089764e-05,3.043770045789981e-06,0.003125473375851183,0.003125346570760968,0.00014832247472247503,0.0001962086992615635,0.0001962086992615635,9.389622468221945e-06,2.0127792097500814e-06,2.0127792097500814e-06,7.829711125927822e-08,7.849838918025319e-05,7.849838918025319e-05,3.6588598664349507e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.849838918025319e-05,7.849838918025319e-05,3.6588598664349507e-06,3.063897241508458e-05,3.063897241508458e-05,1.4935418115370707e-06,0.0,0.0,0.0,628300
"(6.25, 12.5]","(1.41, 2.0]",15587027,0.013289228035606861,0.013285865305304038,0.000637240683674764,33571.0,3.2443334367097625e-06,3.0470042501338013e-06,1.1950325390605214e-07,331052.0,0.00015743691783905007,0.00015434342591781402,6.691729989690707e-06,322818.0,0.0003314094336482682,0.00033140607768669206,1.4584947839151944e-05,2966159.0,0.012797137350682837,0.012797068797449398,0.0006158445025920156,5600.0,0.000254006048660537,0.000254006048660537,1.2291884697117653e-05,14064.0,4.424118735154612e-06,4.4211607599366395e-06,1.726918919884882e-07,0.02215598907989317,0.022148740680310613,0.0010613641531576228,1.0714038026623035e-05,1.0196620561445103e-05,4.0217019576600485e-07,0.00039109446592990434,0.00038452259048502317,1.6734452952445655e-05,0.0006868532401977618,0.0006868448357727229,3.0310386868515717e-05,0.02106732733573888,0.02106717663349143,0.0010139171431408957,0.000322062699961962,0.000322062699961962,1.543739546996358e-05,1.1676376771529298e-05,1.1672463260633343e-05,4.598043809124088e-07,0.0010962321422808854,0.0010961384746430477,5.176754399668397e-05,0.0,0.0,0.0,4.0418227286062955e-06,3.948155090768753e-06,1.7407463270577508e-07,1.3536898345014736e-05,1.3536898345014736e-05,5.802132760788828e-07,0.0010786534212072643,0.0010786534212072643,5.1013256087899294e-05,0.00023545221292039852,0.00023545221292039852,1.1362205249275576e-05,0.0,0.0,0.0,3653600
