periodbin,radiusbin,COUNT,GAMMA_mean,GAMMA_OBS_mean,GAMMA_OBS_TRANS_mean,MONO_COUNT,MONO_GAMMA_mean,MONO_GAMMA_OBS_mean,MONO_GAMMA_OBS_TRANS_mean,DUO_COUNT,DUO_GAMMA_mean,DUO_GAMMA_OBS_mean,DUO_GAMMA_OBS_TRANS_mean,TRIO_COUNT,TRIO_GAMMA_mean,TRIO_GAMMA_OBS_mean,TRIO_GAMMA_OBS_TRANS_mean,MULTI_COUNT,MULTI_GAMMA_mean,MULTI_GAMMA_OBS_mean,MULTI_GAMMA_OBS_TRANS_mean,TSM_CUTOFF_COUNT,TSM_CUTOFF_GAMMA_mean,TSM_CUTOFF_GAMMA_OBS_mean,TSM_CUTOFF_GAMMA_OBS_TRANS_mean,THR_7-3_mean,THR_7-3_OBS_mean,THR_7-3_OBS_TRANS_mean,MONO_THR_7-3_mean,MONO_THR_7-3_OBS_mean,MONO_THR_7-3_OBS_TRANS_mean,DUO_THR_7-3_mean,DUO_THR_7-3_OBS_mean,DUO_THR_7-3_OBS_TRANS_mean,TRIO_THR_7-3_mean,TRIO_THR_7-3_OBS_mean,TRIO_THR_7-3_OBS_TRANS_mean,MULTI_THR_7-3_mean,MULTI_THR_7-3_OBS_mean,MULTI_THR_7-3_OBS_TRANS_mean,TSM_CUTOFF_THR_7-3_mean,TSM_CUTOFF_THR_7-3_OBS_mean,TSM_CUTOFF_THR_7-3_OBS_TRANS_mean,THR_20_mean,THR_20_OBS_mean,THR_20_OBS_TRANS_mean,MONO_THR_20_mean,MONO_THR_20_OBS_mean,MONO_THR_20_OBS_TRANS_mean,DUO_THR_20_mean,DUO_THR_20_OBS_mean,DUO_THR_20_OBS_TRANS_mean,TRIO_THR_20_mean,TRIO_THR_20_OBS_mean,TRIO_THR_20_OBS_TRANS_mean,MULTI_THR_20_mean,MULTI_THR_20_OBS_mean,MULTI_THR_20_OBS_TRANS_mean,TSM_CUTOFF_THR_20_mean,TSM_CUTOFF_THR_20_OBS_mean,TSM_CUTOFF_THR_20_OBS_TRANS_mean,SIM_COUNT
"(1.56, 3.13]","(0.5, 0.71]",1137732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"(1.56, 3.13]","(0.71, 1.0]",3033949,2.5259210523088508e-05,2.5259210523088508e-05,5.0893145276131074e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,2.5259210523088508e-05,2.5259210523088508e-05,5.0893145276131074e-06,700.0,2.116298619147198e-05,2.116298619147198e-05,4.495626226463941e-06,4.087082544894458e-05,4.087082544894458e-05,8.047861055014437e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.087082544894458e-05,4.087082544894458e-05,8.047861055014437e-06,3.065311908670846e-05,3.065311908670846e-05,6.572424256307535e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100
"(1.56, 3.13]","(1.0, 1.41]",9481092,0.000386198187035786,0.000386198187035786,6.21614799581849e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59400.0,0.000386198187035786,0.000386198187035786,6.21614799581849e-05,2300.0,0.00010184723561614143,0.00010184723561614143,1.6770882854566895e-05,0.000600247313284166,0.000600247313284166,9.689886987701412e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000600247313284166,0.000600247313284166,9.689886987701412e-05,0.00013764237284059685,0.00013764237284059685,2.307234229981104e-05,2.3098605097387515e-05,2.3098605097387515e-05,4.638220998171942e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3098605097387515e-05,2.3098605097387515e-05,4.638220998171942e-06,2.531353983275346e-06,2.531353983275346e-06,5.179150249781356e-07,59400
"(1.56, 3.13]","(1.41, 2.0]",5309413,0.004378404491521288,0.004378404491521288,0.0007104054911373373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245990.0,0.004378404491521288,0.004378404491521288,0.0007104054911373373,2700.0,0.0002717648926911187,0.0002717648926911187,4.5600182423318344e-05,0.006833147091778319,0.006833147091778319,0.0011070261816136743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006833147091778319,0.006833147091778319,0.0011070261816136743,0.00035408810729171,0.00035408810729171,6.039040473965763e-05,0.00027931524633702443,0.00027931524633702443,4.396642340688128e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027931524633702443,0.00027931524633702443,4.396642340688128e-05,8.136492678192485e-05,8.136492678192485e-05,1.318168317288558e-05,246000
"(1.56, 3.13]","(2.0, 2.83]",1516974,0.026390329561432568,0.026390329561432568,0.00443611512505216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314080.0,0.026390329561432568,0.026390329561432568,0.00443611512505216,3000.0,0.0014275641484101092,0.0014275641484101092,0.00023279042194400708,0.03995981473644241,0.03995981473644241,0.006711817341628793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03995981473644241,0.03995981473644241,0.006711817341628793,0.0017264633408351098,0.0017264633408351098,0.0002818785951506089,0.0029466556447243,0.0029466556447243,0.00047379968278955326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029466556447243,0.0029466556447243,0.00047379968278955326,0.0008648796881159467,0.0008648796881159467,0.00014039733047501146,314100
"(1.56, 3.13]","(2.83, 4.0]",1137732,0.11319112697069578,0.11319112697069578,0.019441525042932294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651900.0,0.11319112697069578,0.11319112697069578,0.019441525042932294,13000.0,0.009184650183614203,0.009184650183614203,0.0015560106915667206,0.16274570812810046,0.16274570812810046,0.028033798293446977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16274570812810046,0.16274570812810046,0.028033798293446977,0.010765276884187137,0.010765276884187137,0.001835894832878042,0.02049603948908882,0.02049603948908882,0.003382723699430095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02049603948908882,0.02049603948908882,0.003382723699430095,0.0071932581662465305,0.0071932581662465305,0.0011710949503046415,651900
"(1.56, 3.13]","(4.0, 5.66]",711083,0.3219336951453863,0.3219336951453863,0.05745791022844447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629770.0,0.3219336951453863,0.3219336951453863,0.05745791022844447,15000.0,0.01798308542426965,0.01798308542426965,0.003156882280816592,0.4406686701833681,0.4406686701833681,0.078904519866176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4406686701833681,0.4406686701833681,0.078904519866176,0.02050393554620206,0.02050393554620206,0.0036083340482053433,0.09350385257417206,0.09350385257417206,0.016223965838024542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350385257417206,0.09350385257417206,0.016223965838024542,0.01711755167821478,0.01711755167821478,0.0029503612095915675,629800
"(1.56, 3.13]","(5.66, 8.0]",863058,0.617019132874242,0.617019132874242,0.11514836916642411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847470.0,0.617019132874242,0.617019132874242,0.11514836916642411,58900.0,0.059540493712433855,0.059540493712433855,0.010538370498896135,0.7729387827932769,0.7729387827932769,0.14508195602149573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7729387827932769,0.7729387827932769,0.14508195602149573,0.06779150416310374,0.06779150416310374,0.012011960030496214,0.299577780404098,0.299577780404098,0.054053677852473406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299577780404098,0.299577780404098,0.054053677852473406,0.06385318252075758,0.06385318252075758,0.01121764887180236,847500
"(1.56, 3.13]","(8.0, 11.31]",1003817,0.7923953068359422,0.7923953068359422,0.15439371006132005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986290.0,0.7923953068359422,0.7923953068359422,0.15439371006132005,190800.0,0.1670706301032686,0.1670706301032686,0.030052281479075505,0.9268890644410287,0.9268890644410287,0.1814565491518873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9268890644410287,0.9268890644410287,0.1814565491518873,0.18902349731076482,0.18902349731076482,0.033984766645713295,0.6252872784581254,0.6252872784581254,0.11753879193119864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6252872784581254,0.6252872784581254,0.11753879193119864,0.18510445629033978,0.18510445629033978,0.03315320332291643,986300
"(1.56, 3.13]","(11.31, 16.0]",2297224,0.8569067873792908,0.8569067873792908,0.1730425865042799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2272430.0,0.8569067873792908,0.8569067873792908,0.1730425865042799,988800.0,0.3796698977150959,0.3796698977150959,0.07168653720800124,0.9749040581153601,0.9749040581153601,0.1970862708207818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749040581153601,0.9749040581153601,0.1970862708207818,0.4289189909212162,0.4289189909212162,0.08093599683792267,0.8767468910302173,0.8767468910302173,0.17386609520882584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8767468910302173,0.8767468910302173,0.17386609520882584,0.42530332261895226,0.42530332261895226,0.08015166914502027,2272500
"(3.13, 6.25]","(0.5, 0.71]",4171680,1.1558330985013379e-12,1.1558330985013379e-12,1.1662032200325914e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1.1558330985013379e-12,1.1558330985013379e-12,1.1662032200325914e-13,100.0,6.081628078677647e-13,6.081628078677647e-13,6.683709258466734e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
"(3.13, 6.25]","(0.71, 1.0]",10239580,1.9248024262392113e-05,1.9248024262392113e-05,2.254243603103638e-06,0.0,0.0,0.0,0.0,66.0,6.599459659917975e-20,6.599459659917975e-20,5.5030464393632046e-21,331.0,5.874966026041734e-12,5.874966026041734e-12,4.733120416106315e-13,6303.0,1.9248018387426018e-05,1.9248018387426018e-05,2.2542431297915904e-06,1500.0,4.229701696033592e-06,4.229701696033592e-06,4.634367755311428e-07,3.847814070498987e-05,3.847814070498987e-05,4.354397348328743e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.847814070498987e-05,3.847814070498987e-05,4.354397348328743e-06,1.357477552790251e-05,1.357477552790251e-05,1.4879907183693078e-06,6.640897380556625e-06,6.640897380556625e-06,8.898802489945885e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640897380556625e-06,6.640897380556625e-06,8.898802489945885e-07,0.0,0.0,0.0,6700
"(3.13, 6.25]","(1.0, 1.41]",32614960,0.00020667733104158027,0.00020667733104158027,2.0826050539681378e-05,3.0,6.026968991951839e-26,6.026968991951839e-26,4.357498581181179e-27,2418.0,3.3615486054258796e-08,3.3615486054258796e-08,2.943569731086937e-09,14520.0,1.2738577517871009e-07,1.2738577517871009e-07,1.1068944091212587e-08,173259.0,0.00020651632978034738,0.00020651632978034738,2.0812038025859083e-05,3900.0,2.7386774758424172e-05,2.7386774758424172e-05,2.6011522773604834e-06,0.0003320868705649186,0.0003320868705649186,3.331967600144227e-05,0.0,0.0,0.0,6.132155305418127e-08,6.132155305418127e-08,5.37176804754628e-09,4.292508713792689e-07,4.292508713792689e-07,3.7406147363050565e-08,0.0003315962981404852,0.0003315962981404852,3.327689808603166e-05,4.271046170223725e-05,4.271046170223725e-05,4.0927108296315545e-06,1.8549769798889826e-05,1.8549769798889826e-05,1.979481195132541e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8549769798889826e-05,1.8549769798889826e-05,1.979481195132541e-06,1.0915236443644267e-05,1.0915236443644267e-05,9.818715092705918e-07,190200
"(3.13, 6.25]","(1.41, 2.0]",20479162,0.002258226357875681,0.002258226357875681,0.00023162702472498086,26.0,7.077304195110611e-18,7.077304195110611e-18,5.471468790321455e-19,12211.0,6.168280434662572e-08,6.168280434662572e-08,5.189440743541104e-09,81705.0,8.881845635933775e-06,8.881845635933775e-06,7.804041616412476e-07,883758.0,0.002249282829435393,0.002249282829435393,0.00023084143112259554,6900.0,0.00017489026030835498,0.00017489026030835498,1.767877179490861e-05,0.0036890669647517797,0.0036890669647517797,0.0003788320000593775,0.0,0.0,0.0,0.0,0.0,0.0,2.2559516839605058e-05,2.2559516839605058e-05,2.0041103244361273e-06,0.0036665074479121755,0.0036665074479121755,0.00037682788973494136,0.00024161144874970962,0.00024161144874970962,2.4500455633877984e-05,0.00016621773879224157,0.00016621773879224157,1.610400855269372e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016621773879224157,0.00016621773879224157,1.610400855269372e-05,3.3741615013348694e-05,3.3741615013348694e-05,3.0538651923355085e-06,977700
"(3.13, 6.25]","(2.0, 2.83]",15169747,0.015998788767330175,0.015998788767330175,0.0016921805518603317,100.0,3.988891283493374e-09,3.988891283493374e-09,3.392378769406552e-10,37789.0,1.658977330942883e-05,1.658977330942883e-05,1.4056660109529903e-06,292472.0,0.00022159722767339088,0.00022159722767339088,1.9283896459916694e-05,2856339.0,0.01576059777745607,0.01576059777745607,0.001671490650151585,19800.0,0.000850077721911352,0.000850077721911352,9.257639570422113e-05,0.025695418651346,0.025695418651346,0.0027178465599986615,0.0,0.0,0.0,4.11345027705472e-05,4.11345027705472e-05,3.5406391418393474e-06,0.0005062048826522947,0.0005062048826522947,4.415530463362376e-05,0.025148079265923155,0.025148079265923155,0.0026701506162231984,0.001095733501685954,0.001095733501685954,0.00011996546152022176,0.0016662110449172293,0.0016662110449172293,0.00017511532657729878,0.0,0.0,0.0,1.120651517787344e-06,1.120651517787344e-06,8.494538504828064e-08,7.976401979545207e-06,7.976401979545207e-06,6.950412554672143e-07,0.0016571139914198967,0.0016571139914198967,0.0001743353399367833,0.00040284126030579154,0.00040284126030579154,4.183865426364722e-05,3186700
"(3.13, 6.25]","(2.83, 4.0]",7205632,0.07308496111350793,0.07308496111350793,0.007910529062034056,132.0,7.166254007905183e-09,7.166254007905183e-09,5.596094572543447e-10,54443.0,0.00015365155435828298,0.00015365155435828298,1.3534876233534833e-05,408798.0,0.0021009064348707037,0.0021009064348707037,0.00018983402005918549,3727227.0,0.07083039595802496,0.07083039595802496,0.007707159606131881,42200.0,0.004361538447121774,0.004361538447121774,0.0004729329063817207,0.11222679703876079,0.11222679703876079,0.012139028221258027,0.0,0.0,0.0,0.0003611064234199028,0.0003611064234199028,3.188011821863789e-05,0.004366445580346042,0.004366445580346042,0.00039589945753543896,0.10749924503499485,0.10749924503499485,0.011711248645503948,0.005381346147013891,0.005381346147013891,0.0005818324194185881,0.011574418454897503,0.011574418454897503,0.001217310653666465,0.0,0.0,0.0,1.082486588268732e-05,1.082486588268732e-05,9.503399563008494e-07,0.00019776197285678758,0.00019776197285678758,1.7330818448680145e-05,0.011365831616158027,0.011365831616158027,0.0011990294952614843,0.003276326073826695,0.003276326073826695,0.00034446319212527086,4190600
"(3.13, 6.25]","(4.0, 5.66]",4930166,0.22456531061271331,0.22456531061271331,0.025167308382959483,88.0,3.019425124307743e-07,3.019425124307743e-07,2.3116342542912997e-08,58885.0,0.0008634094745502056,0.0008634094745502056,7.935298624383326e-05,442037.0,0.009622443325280205,0.009622443325280205,0.0009063141783574484,3848190.0,0.2140791558703705,0.2140791558703705,0.02418161810201565,57200.0,0.009221262085210067,0.009221262085210067,0.0010115527606580576,0.332857352064819,0.332857352064819,0.0373238115917395,6.084987807712762e-07,6.084987807712762e-07,4.6387890387463604e-08,0.0017962884008368076,0.0017962884008368076,0.0001653360759049493,0.018313176473165407,0.018313176473165407,0.0017370756684460518,0.3127472786920359,0.3127472786920359,0.035421353459498116,0.011225382674741581,0.011225382674741581,0.0012287943042891456,0.06127278472976366,0.06127278472976366,0.006606890924159553,0.0,0.0,0.0,0.00018538929520831547,0.00018538929520831547,1.654201907197445e-05,0.0018368549862215592,0.0018368549862215592,0.0001671757908354404,0.05925054044833378,0.05925054044833378,0.00642317311425214,0.009681824100851777,0.009681824100851777,0.0010431418130748538,4349200
